iter	Logloss
0	0.5836323599
1	0.5108042954
2	0.4565230964
3	0.418766723544	0.394233988155	0.374008078466	0.360958458877	0.350472930988	0.341698482899	0.3357150543110	0.3301894091111	0.3258267735112	0.3224210691313	0.3196863314	0.3188861426
15	0.3169306287
16	0.315192171
17	017	0.312399718	018	0.311353619	019	0.310499720	020	0.309726421	021	0.309097022	022	0.308484423	023	0.308002624	024	0.307260425	025	0.306904726	026	0.306338227	027	0.306058828	028	0.30576529	0.29	0.30551530	0.30	0.3051631	0.331	0.3048532	0.332	0.3051633	0.333	0.3045034	0.334	0.3042935	0.335	0.3041736	0.336	0.3040646481337	0.3039544496338	0.3038531472339	0.3037506956440	0.3036614884441	0.3035361524242	0.3034565468
43	0.3033263937
44	0.3032079366
45	0.3031033902
46	0.3030169635
47	0.3028391898
48	0.302771413
49	0.3027001842
50	0.3025569011
51	0.3024885562
52	0.3024293867
53	0.54	0.30284654	0.55	0.30279155	0.56	0.30275256	057	0.3026905286
58	0.3026337287
59	0.3025571804
60	0.3024892881
61	0.3024260592
62	0.302376662	063	0.302319663	064	0.30225364	0.65	0.30220265	0.66	0.30213766	0.67	0.30207467	0.3014490852
68	0.3014059636
69	0.3013725953
70	0.3013339176
71	0.3012701161
72	0.3012152653
73	0.3011859659
74	0.3011502414
75	0.3011026529
76	0.3010551028
77	0.3010081729
78	0.3009702843
79	0.3009465311
80	0.3009004577
81	0.3008605031
82	0.3007995636
83	0.300762817
84	0.3007226191
85	0.3006774291
86	0.3006434649
87	0.3006066105
88	0.3005721238
89	0.3005428745
90	0.3005113024
91	0.3004595133
92	0.3004289601
93	0.3003674691
94	0.3003066754
95	0.3002743586
96	0.3001968588
97	0.3001516206
98	0.30011779
99	0.3000916287
100	0.3000555222
101	0.3000357642
102	0.3000085769
103	0.2999698081
104	0.2999370227
105	0.2999159569
106	0.2998915071
107	0.2998701312
108	0.2998439725
109	0.2998066847
110	0.2997749535
111	0.299734778
112	0.2997103649
113	0.299692683
114	0.2996505097
115	0.2996267809
116	0.2996027979
117	0.2995786338
118	0.2995484164
119	0.2994841481
120	0.299461772
121	0.2994321086
122	0.2994017814
123	0.2993591574
124	0.2993144353
125	0.2992876038
126	0.2992469597
127	0.2992070141
128	0.2991539165
129	0.299125923
130	0.2990969895
131	0.2990769355
132	0.2990347525
133	0.298999758
134	0.2989818251
135	0.2989335907
136	0.298881799
137	0.2988408635
138	0.2988051602
139	0.2987878905
140	0.2987435536
141	0.2987221855
142	0.2986770224
143	0.2986302421
144	0.2985956263
145	0.2985707085
146	0.2985394357
147	0.2985121605
148	0.2984756059
149	0.2984360031
150	0.2984154285
151	0.2983863679
152	0.2983483444
153	0.2983257404
154	0.2982980177
155	0.2982678016
156	0.2982313773
157	0.2982058092
158	0.2981848962
159	0.2981638696
160	0.2981326179
161	0.2981026514
162	0.2980771758
163	0.2980418814
164	0.2980071405
165	0.2979867398
166	0.2979504138
167	0.2979243879
168	0.2978980404
169	0.2978633405
170	0.297834443
171	0.2978014278
172	0.2977719172
173	0.2977400665
174	0.2977151506
175	0.2976921961
176	0.2976699978
177	0.2976397553
178	0.2976183653
179	0.2975960823
180	0.2975693169
181	0.2975478241
182	0.2975234912
183	0.2975049812
184	0.2974747599
185	0.2974512006
186	0.2974319574
187	0.2974068894
188	0.2973702995
189	0.2973502532
190	0.2973298577
191	0.2972950063
192	0.2972766343
193	0.2972582091
194	0.2972291517
195	0.2972068507
196	0.297188351
197	0.2971752998
198	0.2971495276
199	0.2971343168
200	0.2971170516
201	0.2970898027
202	0.2970715354
203	0.2970542638
204	0.2970356388
205	0.2970122984
206	0.2969824784
207	0.2969653294
208	0.2969425341
209	0.2969211011
210	0.2969012949
211	0.2968703693
212	0.2968467021
213	0.2968254566
214	0.2968073818
215	0.2967789119
216	0.2967547048
217	0.2967349121
218	0.2967109457
219	0.2966951873
220	0.2966686331
221	0.2966465099
222	0.296631771
223	0.296607042
224	0.2965901318
225	0.2965704072
226	0.2965557177
227	0.2965395785
228	0.2965219795
229	0.2965075937
230	0.2964837615
231	0.2964566327
232	0.2964400737
233	0.2964169131
234	0.2964041631
235	0.2963896462
236	0.296372322
237	0.2963510225
238	0.29633388
239	0.2963143267
240	0.2962925361
241	0.2962685434
242	0.2962487867
243	0.296230147
244	0.2962039677
245	0.2961809354
246	0.2961624119
247	0.296141004
248	0.2961180346
249	0.2960991311
250	0.2960703337
251	0.2960476135
252	0.2960284974
253	0.2960126004
254	0.2960001129
255	0.2959815464
256	0.2959632226
257	0.2959403245
258	0.295920587
259	0.2959031016
260	0.2958853645
261	0.2958643655
262	0.2958501588
263	0.2958410367
264	0.2958222378
265	0.2958075508
266	0.2957937698
267	0.2957809774
268	0.2957599302
269	0.2957404642
270	0.2957190351
271	0.29570364
272	0.2956839205
273	0.2956705567
274	0.2956587825
275	0.2956440038
276	0.295623189
277	0.2956017746
278	0.2955867172
279	0.2955705909
280	0.2955555098
281	0.2955431976
282	0.2955160264
283	0.2954939206
284	0.2954781063
285	0.29546115
286	0.2954489289
287	0.2954201149
288	0.2954006001
289	0.2953891283
290	0.2953768656
291	0.2953580891
292	0.2953389692
293	0.2953162535
294	0.2952956615
295	0.2952804417
296	0.2952611292
297	0.2952462066
298	0.2952304206
299	0.2952164296
300	0.2951970189
301	0.2951836121
302	0.2951663071
303	0.2951486394
304	0.2951362129
305	0.2951140795
306	0.2950962102
307	0.295086057
308	0.2950685735
309	0.2950525615
310	0.2950429213
311	0.2950280893
312	0.2950115374
313	0.2950023857
314	0.2949889224
315	0.2949741784
316	0.2949564169
317	0.294937324
318	0.2949108577
319	0.2948982367
320	0.2948837507
321	0.294864713
322	0.2948503612
323	0.2948309948
324	0.2948126831
325	0.2947996654
326	0.2947872697
327	0.2947689491
328	0.2947568815
329	0.2947453423
330	0.2947285432
331	0.2947133253
332	0.2946989299
333	0.2946803653
334	0.2946604698
335	0.2946424285
336	0.2946293857
337	0.2946155436
338	0.2945996735
339	0.2945832358
340	0.2945690497
341	0.2945592072
342	0.2945481611
