iter	Logloss
0	0.6183105059
1	0.5628973195
2	0.5210377107
3	0.4895074437
4	0.4658552563
5	0.4478927121
6	0.4343160639
7	0.4241075464
8	0.4154108481
9	0.4077569639
10	0.4019673142
11	0.3967828289
12	0.3931995292
13	0.390024881
14	0.3872921758
15	0.3844906322
16	0.3825991591
17	0.380922349
18	0.3792523833
19	0.3780432828
20	0.3766453972
21	0.3757923306
22	0.374806476
23	0.3741586249
24	0.3735755297
25	0.3728839068
26	0.3722524054
27	0.371745233
28	0.3712986827
29	0.3709872563
30	0.37071268
31	0.3704517454
32	0.3702217128
33	0.3699092414
34	0.3696856746
35	0.3694718149
36	0.3692063152
37	0.3690572507
38	0.3689014968
39	0.3687797764
40	0.3685502341
41	0.3683840799
42	0.3681979033
43	0.3680411948
44	0.3679154835
45	0.3677650625
46	0.3676535173
47	0.3675339439
48	0.3674743732
49	0.3673488035
50	0.3672247243
51	0.3671527129
52	0.3670835926
53	0.3669846337
54	0.3669080296
55	0.3668431048
56	0.3667213263
57	0.366629059
58	0.3665847526
59	0.3665234535
60	0.3664819434
61	0.3664179713
62	0.366333724
63	0.366239114
64	0.3661712036
65	0.3661034696
66	0.3660342739
67	0.3659886936
68	0.365936696
69	0.3658728888
70	0.3658062677
71	0.3657500204
72	0.3657165661
73	0.3656317906
74	0.3655492365
75	0.3654927226
76	0.3654488919
77	0.3654191646
78	0.3653665942
79	0.3653257229
80	0.3652295847
81	0.3651734888
82	0.3651445513
83	0.3651015319
84	0.3650606897
85	0.3650136383
86	0.3649583517
87	0.3648981104
88	0.3648747575
89	0.3648243673
90	0.3647966658
91	0.36476449
92	0.3647196493
93	0.3646673332
94	0.3646293629
95	0.364597938
96	0.3645538523
97	0.3645028974
98	0.3644433853
99	0.3643876485
100	0.3643516741
101	0.364316125
102	0.3642801308
103	0.3642309555
104	0.364193918
105	0.3641612929
106	0.3641316872
107	0.3640657175
108	0.3640477705
109	0.3639899971
110	0.3639427873
111	0.3639124769
112	0.3638719388
113	0.3638478853
114	0.3638202291
115	0.3637918879
116	0.3637384895
117	0.3636961806
118	0.3636557553
119	0.3636264614
120	0.3635950838
121	0.3635486508
122	0.3635082896
123	0.3634901823
124	0.3634679072
125	0.3634263764
126	0.3633679774
127	0.3633277014
128	0.3632791721
129	0.3632501067
130	0.3632098729
131	0.3631692516
132	0.363132904
133	0.3630861531
134	0.3630450418
135	0.3630186287
136	0.3629859844
137	0.3629407674
138	0.3628841591
139	0.3628625621
140	0.3628325624
141	0.36280218
142	0.3627728272
143	0.362734716
